Integration instructions by tool,,,,,,,,
Toolbox,Chinese translation,Core approach,Solved benchmark issues,Enhanced evaluation criteria,Applicable Ethical Scenarios,Source / Paper,Limitations,Example mini-case (with comparison)
Construct definition,Construct definition,"Clarify the capabilities, risks, or ethical constructs that the benchmark claims to test, and explain how these are operationalized into tasks.",Vague terminology; weak construct validity,"Construct clarity, normative foundation",All Ethical Scenarios,BetterBench、Raji et al.、Can We Trust AI Benchmarks | Master instances: PsycoLLM / Psychometrics / PsychCounsel / ValueBench (survey-mentioned psychology/value benchmarks); MoralBench / MIC (survey-mentioned value benchmarks),Requires domain expertise; high upfront cost.,"In the mental health hotline dialogue dataset, after inputting the original user’s self-disclosure text, the model is constrained to generate a structured response aligned with PHQ-9 Item 3 (“Little interest or pleasure in doing things”): first confirming perception (“You mentioned recently finding it difficult to muster motivation for activities…”), then offering evidence-based support options (excluding medication recommendations, instead focusing on behavioral activation strategies), and fina"
Normative source coding,Standard Source Coding,"Extract principles, duties, prohibited actions, and applicable scenarios from law, policy, ethical theory, and professional codes of conduct.",Unclear source of ethical judgment; rubric difficult to justify.,"Normative foundation, source adaptation","Fairness, privacy, healthcare, psychology, law, etc.","AI Risk Management Framework (AI RMF), professional ethics, relevant laws and policies, Model Cards/Datasheets approach | Master instances: ETHICS (2023)",Easily becomes abstract; needs to be grounded in concrete scenarios.,"In the medical AI consultation dialogue dataset, this schema can be reused to relabel decision recommendations in physician–patient interactions (e.g., “whether to disclose a terminal diagnosis”) along three ethical axes: deontology (physician duties), care ethics (patient psychological well-being), and justice ethics (fairness in resource allocation), thereby evaluating model response consistency under varying ethical weightings."
Scenario × metric matrix,Scenario–Metric Matrix,"Split the evaluation into multiple scenarios and multiple metrics, rather than a single overall score.",Single-score masking of diverse risks and trade-offs,"Metric validity, scenario authenticity",Comprehensive Trustworthiness Evaluation and Model Profiling,Expert-recommended (gap-driven; no benchmark instance in master corpus). HELM,Increased number of metrics raises interpretation cost.,
Behavioral testing,Behavioral Testing Matrix,"Generate tests using a capability × test-type system, rather than relying solely on held-out accuracy.",Ordinary accuracy overestimates capability and makes it difficult to pinpoint specific bugs.,Task format adaptation; scenario authenticity,"Safety, bias, trustworthiness, etc.",Expert-recommended (gap-driven; no benchmark instance in master corpus). CheckList,Original method leans toward NLP behavioral testing and requires ethical adaptation.,
Ambiguous/disambiguated contrast,Ambiguity/Disambiguation Contrast Questions,Test bias under both information-deficient and information-sufficient contexts.,Tests only surface-level stereotypes and cannot distinguish between uninformed random guessing and bias that overrides factual information.,"Task format alignment, Construct clarity",Fairness bias,BBQ | Master instances: BBQ (2022),Still biased toward short-text QA; insufficient real-world institutional scenarios.,"In the Chinese customer service dialogue dataset, ambiguous contexts (e.g., “This elderly customer repeatedly questions the refund process”) and disambiguating contexts (e.g., “This 72-year-old retired teacher repeatedly confirms details due to visual impairment preventing clear reading of the terms”) can be constructed from user complaint texts, while keeping the question “Who is more likely to be unreasonable?” and its answer options unchanged, to detect model sensitivity to age-based stereoty"
Cultural adaptation protocol,Cultural Adaptation Process,Localize existing benchmarks rather than directly translating them.,Cross-cultural migration distortion,Context and Subject Coverage; Source Adaptation,"Cross-cultural bias, Chinese ethical scenarios","KoBBQ, CBBQ, NaVAB, etc. | Master instances: KoBBQ (2024); CBBQ (2024); NaVAB (2025)",Requires local expertise and cultural knowledge,"Constructing a dataset for AI assistants in Japanese workplaces using the KoBBQ framework: first applying “Japanese cultural filtering” to the Japanese translation of BBQ (removing questions unrelated to Japan’s lifetime employment system and seniority-based wage/promotion system), then augmenting with dimensions from Japan’s Ministry of Health, Labour and Welfare’s White Paper on Workplace Discrimination—such as “non-regular employees (part-timers)”, “older workers (65+)”, and “workers from reg"
Human-AI collaborative generation,Human-AI collaborative item generation,Use manual templates to ensure directionality; use models to scale up samples in bulk.,Manual question generation is slow; pure model-based question generation yields unstable quality.,"Coverage adequacy, quality assurance","Fairness, safety, privacy, psychology, etc.","CBBQ, etc. | Master instances: CBBQ (2024)","Human quality inspection is mandatory; otherwise, model biases will be amplified.","In an AI-assisted question-generation system for training grassroots civil servants in China, the CBBQ four-stage process is adopted: AI extracts ambiguous statements concerning topics such as “employment of persons with disabilities” and “staffing quotas for rural-hukou teachers” from government bulletins and petition platforms; these statements are then disambiguated by human resources and social security experts to generate policy-comprehension multiple-choice questions (MCQs), which are used"
Safe/unsafe contrast set,Safe/Unsafe Contrast Set,Design both safe but easily rejected prompts and genuinely unsafe prompts simultaneously.,"Measures only refusal rate, ignoring over-refusal.",Metric validity; task format alignment,"Safety refusal, psychological/medical boundaries",XSTest | Master instances: XSTest (2024),Primarily suitable for safety-related applications; requires migration to other scenarios.,"In a medical Q&A dataset, for each real patient query (e.g., “How to relieve migraine”), manually construct a semantically safe but lexically vague/metaphorical counterpart (e.g., “What can I do to make my head quiet down, like turning off an old, buzzing air conditioner?”), forming contrastive pairs to evaluate whether medical large language models erroneously reject legitimate health inquiries due to terminological uncertainty."
Hazard taxonomy,Risk classification system,Categorize safety risks into multiple hazard types and establish response criteria.,"Security risks are overly broad, making structured assessment infeasible.","Construct clarity, metric validity","Safety, Harmful Content, Abuse Prevention","AILuminate, HarmBench, etc. | Master instances: HarmBench (2024)",Potentially biased toward content harm; difficult to cover long-term institutional risks.,"In the financial risk control dialogue dataset, reconstruct HarmBench’s taxonomy based on China’s Interim Measures for the Management of Generative Artificial Intelligence Services and the CBIRC’s anti-money laundering guidelines: label “forging bank statements” as red-line (explicitly illegal), and label “teaching users reasonable tax planning” as disputed; then re-annotate 1,000 customer service dialogues using this labeling scheme to drive the model to learn how to provide ambiguous responses"
Contextual integrity,Contextual Integrity,"Determine whether the information flow is appropriate based on role, information type, purpose, and transmission principles.",Privacy is narrowly defined as PII.,"Scenario authenticity, connection to real-world harm, normative foundation","Contextual privacy, third-party privacy","PrivaCI-Bench, Privacy Theory | Master instances: PrivaCI-Bench (2025)",Requires legal/social norm knowledge; complex annotation.,"In the financial customer service speech-to-text dataset, this tool anchors Section 501 security standards of the U.S. Gramm-Leach-Bliley Act (GLBA) to customer call segments (e.g., “user discloses Social Security number for identity verification”), generating a multiple-choice question (MCQ) stem: “The agent stores this information in an unencrypted database—violating which GLBA requirement?” The accompanying vignette displays an internal bank data flow diagram (call center → CRM → risk control"
Proxy variable taxonomy,Proxy variable classification,Flag variables that appear neutral on the surface but may proxy for protected attributes.,The fairness benchmark only measures explicit bias and overlooks indirect discrimination.,"Scenario authenticity, connection to real-world harm","Recruitment, finance, educational equity","Fair ML and anti-discrimination literature, compatible with BBQ/CBBQ adaptation. | Master instances: BBQ (2022); CBBQ (2024)",Proxy variable judgment depends on the specific context.,"In the Chinese customer service dialogue dataset, ambiguous contexts (e.g., “This elderly customer repeatedly questions the refund process”) and disambiguating contexts (e.g., “This 72-year-old retired teacher repeatedly confirms details due to visual impairment preventing clear reading of the terms”) can be constructed from user complaint texts, while keeping the question “Who is more likely to be unreasonable?” and its answer options unchanged, to detect model sensitivity to age-based stereoty"
Risk-tier taxonomy,Risk level classification,"Categorize requests or scenarios as low-, medium-, or high-risk based on risk intensity.",One-size-fits-all risk assessment leads to excessive rejection or underestimation of crises.,Metric validity; task format alignment,"Safety, psychological well-being, healthcare, legal","Expert-recommended (gap-driven; no benchmark instance in master corpus). Safety benchmark, crisis intervention scenario",Grading requires expert calibration.,
Professional boundary rubric,Professional Boundary Scoring Criteria,"Clearly specify that the model must not overstep its authority to diagnose, treat, or replace experts in medical, legal, psychological, and other domains.",Empathy/Professional Advice Benchmark is prone to overreach.,"Normative foundation, connection to real-world harm, scorer reliability","Mental health, healthcare, law",Professional ethics; psychological/medical/legal norms | Master instances: ETHICS (2023),Domain expert review required.,"In the medical AI consultation dialogue dataset, this schema can be reused to relabel decision recommendations in physician–patient interactions (e.g., “whether to disclose a terminal diagnosis”) along three ethical axes: deontology (physician duties), care ethics (patient psychological well-being), and justice ethics (fairness in resource allocation), thereby evaluating model response consistency under varying ethical weightings."
Multi-turn red teaming,Multi-round red-teaming,"Testing boundary stability through multi-round induction, role-playing, and request packaging",Single-turn safety questions cannot detect boundary drift.,"Task format adaptation, abuse prevention","Jailbreaking, security, privacy leakage","HarmBench/JailbreakBench/ToxicChat, etc. | Master instances: HarmBench (2024); ToxicChat (2023)",High cost; complex scoring.,"In the financial risk control dialogue dataset, reconstruct HarmBench’s taxonomy based on China’s Interim Measures for the Management of Generative Artificial Intelligence Services and the CBIRC’s anti-money laundering guidelines: label “forging bank statements” as red-line (explicitly illegal), and label “teaching users reasonable tax planning” as disputed; then re-annotate 1,000 customer service dialogues using this labeling scheme to drive the model to learn how to provide ambiguous responses"
Agent / workflow simulation,Agent/Workflow Simulation,"Test model actions in environments such as tool invocation, file systems, email, and databases.",Text-response safety does not equal action safety.,"Scenario authenticity, governance reliability","Agent safety, human oversight, privacy","Agent-SafetyBench, ToolEmu, etc. | Master instances: Agent-SafetyBench (2025)",High construction cost; complex environmental design.,"In the Intelligent Office Assistant dataset, generate multi-turn test cases based on the “Email Auto-Archiving” functionality: the user first requests, “Move all emails containing ‘urgent’ from last week to the ‘High Priority’ folder.” The agent invokes the search API; in the second turn, it deliberately fabricates a response (simulating an API failure) to observe whether the agent directly executes the move operation without secondary verification—thereby evaluating its robustness against toolc"
LLM-as-a-judge + rubric,Large Language Model Scorer and Guidelines,"Evaluate open-ended responses using strong models or multi-model ensembles, and reduce bias through rubrics and human calibration.",Open-ended responses are difficult to score automatically.,"Scorer reliability, metric validity","Open-ended generation, multi-turn dialogue",Expert-recommended (gap-driven; no benchmark instance in master corpus). MT-Bench、Chatbot Arena、LLM-as-Judge survey,"Presence of positional bias, verbosity preference, and self-preference; calibration required.",
Multi-judge aggregation,Multi-rater aggregation,"Multiple judges or human-model collaboration for scoring, reducing bias from a single evaluator.",Single LLM judge is unstable.,Scorer Reliability,"Open-ended response, ethical judgment",Expert-recommended (gap-driven; no benchmark instance in master corpus). LLM judge-related research,Higher cost; requires aggregation rules.,
Public/private split,Public practice set and hidden official set,Publish practice data; keep formal test data hidden.,"Data contamination, leaderboard gaming, Goodhart’s law","Pollution Prevention and Leaderboard Protection, Governance Maintenance",Long-term benchmark,"Expert-recommended (gap-driven; no benchmark instance in master corpus). AILuminate, MLCommons-style benchmarking practices",High maintenance cost; transparency and security must be balanced.,
Dynamic update / versioning,Dynamic Updates and Version Management,"Update the question set in response to evolving model capabilities, legal requirements, and societal risks, while maintaining version control.","Benchmark outdated, difficult to compare",Governance Maintenance and Updates,"Scenarios where safety, privacy, policies, and societal values change rapidly","Expert-recommended (gap-driven; no benchmark instance in master corpus). BetterBench, living benchmark approach",High maintenance cost; governance mechanisms required.,
Benchmark card / dataset card,Benchmark/Dataset Card,"Intended use, out-of-scope, data sources, limitations, maintenance approach",User misuse of benchmark; insufficient documentation,"Documentation and Reproducibility, Source Adaptation",All externally released benchmarks,Expert-recommended (gap-driven; no benchmark instance in master corpus). Datasheets、Model Cards、Data Cards、BetterBench,Requires ongoing maintenance and does not resolve all evaluation issues.,
,,,,,,,,
Integration instructions according to the evaluation framework,,,,,,Expert-recommended (gap-driven; no benchmark instance in master corpus).,,
If a benchmark is weak on this criterion,Which toolboxes can be used to enhance?,Example Ethical Scenario,How was it improved? (Must be elaborated in detail in the main text),,,Expert-recommended (gap-driven; no benchmark instance in master corpus).,,
Weak construct clarity,construct definition、normative source coding、protected interest mapping,“Fairness” cannot be equated solely with stereotypes; “privacy” cannot be equated solely with PII.,,,,Expert-recommended (gap-driven; no benchmark instance in master corpus).,,
Insufficient normative foundation,legal/policy/professional source mapping、evidence card,"High-risk scenarios such as healthcare, law, psychology, and recruitment.",,,,Expert-recommended (gap-driven; no benchmark instance in master corpus).,,
Single source or ambiguous authority,"Source Provenance Card, Multi-source Calibration, Bias Disclosure","Official media, crowdsourcing, expert, and user-case hybrid data",,,,Expert-recommended (gap-driven; no benchmark instance in master corpus).,,
Insufficient scenario authenticity,scenario template、risk modifier、case-based generation,"Recruitment fairness, psychological support, contextual privacy",,,,Expert-recommended (gap-driven; no benchmark instance in master corpus).,,
Task format mismatch,MCQ/open generation/pairwise/multi-turn/agent sandbox selection,"Multi-turn prompting, agent tools, open ethical recommendations",,,,Expert-recommended (gap-driven; no benchmark instance in master corpus).,,
Binary answers are overly coarse.,red-line/consensus/contested labels、distributional labels、rubric,"Cultural controversies, professional ethics, value conflicts",,,,Expert-recommended (gap-driven; no benchmark instance in master corpus).,,
Weak metric validity,multi-metric profile、over-refusal metric、calibration metric、failure-mode map,"Safety refusal, trustworthiness, open response",,,,Expert-recommended (gap-driven; no benchmark instance in master corpus).,,
Scorer instability,LLM-as-a-judge calibration、multi-judge aggregation、human audit,"Open-ended generation, multi-turn dialogue",,,,Expert-recommended (gap-driven; no benchmark instance in master corpus).,,
Insufficient quality assurance,double annotation、expert review、adversarial filtering、conflict removal,All human/synthetic datasets,,,,Expert-recommended (gap-driven; no benchmark instance in master corpus).,,
Prone to contamination / leaderboard gaming,hidden set、dynamic update、contamination detection,Long-term public benchmark,,,,Expert-recommended (gap-driven; no benchmark instance in master corpus).,,
Insufficient documentation,benchmark card、dataset card、model card、evaluation scripts,Publicly release the benchmark.,,,,Expert-recommended (gap-driven; no benchmark instance in master corpus).,,
Insufficient updates,versioning、feedback channel、retired set、update triggers,"Rapidly evolving security, privacy, and policy landscape",,,,Expert-recommended (gap-driven; no benchmark instance in master corpus).,,
,,,,,,,,
Integrate and explain according to the 4+1 principle.,,,,,,Expert-recommended (gap-driven; no benchmark instance in master corpus).,,
Principle,Represents benchmark,Common Issues,Recommended toolbox,Enhanced evaluation criteria,Paper argument,Expert-recommended (gap-driven; no benchmark instance in master corpus).,,
Human-centered,"HeartBench, CPsyExam, SMILE, EmotionBench, MoralChoice, ETHICS, etc.","Many datasets assess psychological knowledge, emotion recognition, and empathic expression, but do not necessarily assess crisis intervention, professional boundaries, emotional dependency, or real-world support.",crisis risk tier、professional boundary rubric、multi-turn dependence test、safe completion、expert calibration,"Real-world harm linkage, task format alignment, answer and disagreement design, scorer reliability","The human-centered benchmark should assess the capability of “supportive but non-intrusive” interaction, rather than assessing only psychological knowledge or gentle tone.",Expert-recommended (gap-driven; no benchmark instance in master corpus).,,
Trustworthy and Controllable,,,,,,Expert-recommended (gap-driven; no benchmark instance in master corpus).,,
,,,,,,,,
,,,,,,,,
Integrate and analyze the preceding tool summary table; these three tables must be placed in the Appendix. The main text presents the analysis of these three tables.,,,,,,Expert-recommended (gap-driven; no benchmark instance in master corpus).,,
Representative tool integration,Sample a mini-case from one of the benchmarks.,,,,,Expert-recommended (gap-driven; no benchmark instance in master corpus).,,
Integrate according to standards.,"In particular, the component addressing how the tool enhances the corresponding standards must be elaborated in detail and with depth.",,,,,Expert-recommended (gap-driven; no benchmark instance in master corpus).,,
Integrate according to principles.,"What common gaps exist in this principle, and which tools are recommended?",,,,,Expert-recommended (gap-driven; no benchmark instance in master corpus).,,
