Tool,Canonical name,Core practice,Problem fixed,Benchmark instances (master),Survey / methodology refs,Mini case
Construct definition,Construct Definition,"Clarify the capabilities, risks, or ethical constructs that the benchmark claims to test, and explain how these are operationalized into tasks.",Vague terminology; weak construct validity,"PsycoLLM / Psychometrics / PsychCounsel / ValueBench (survey-mentioned psychology/value benchmarks) — This tool converts standardized items from established psychological scales (e.g., the PHQ-9 depression screening scale, the GAD-7 anxiety scale) into structured LLM response prompts. | MoralBench / MIC (survey-mentioned value benchmarks) — MoralBench implements a structured preference elicitation protocol where LLM responses to moral dilemmas are scored not only on binary correctness but along orthogonal moral dimension weights.",BetterBench 2024; Raji et al. 2021; Can We Trust AI Benchmarks,"In a mental health hotline dialogue dataset, the model is constrained to generate a structured response aligned with PHQ-9 Item 3, confirming the user's perception and offering evidence-based support options, thereby operationalizing the construct of 'little interest or pleasure in doing things' into a clear, actionable task."
Normative source coding,Standard Source Coding,"Extract principles, duties, prohibited actions, and applicable scenarios from law, policy, ethical theory, and professional codes of conduct.",Unclear source of ethical judgment; rubric difficult to justify.,"ETHICS (2023) — ETHICS constructs an explicit annotation schema mapped to five major normative ethical traditions (care ethics, justice ethics, deontology, virtue ethics, commo)","AI Risk Management Framework (AI RMF); Professional ethics, relevant laws and policies; Model Cards/Datasheets approach","In the medical AI consultation dialogue dataset, this schema can be reused to relabel decision recommendations in physician–patient interactions (e.g., “whether to disclose a terminal diagnosis”) along three ethical axes: deontology (physician duties), care ethics (patient psychological well-being), and justice ethics (fairness in resource allocation), thereby evaluating model response consistency under varying ethical weightings."
Scenario × metric matrix,Scenario–Metric Matrix,"Split the evaluation into multiple scenarios and multiple metrics, rather than a single overall score.",Single-score masking of diverse risks and trade-offs,(no master instance — see survey refs),HELM (2023); AI RMF (2023); Model Cards 2019,"A language model is evaluated on its ability to handle customer service queries. The evaluation is split into scenarios such as billing issues, technical support, and product inquiries, with metrics including response accuracy, empathy, and compliance with company policies."
Behavioral testing,Behavioral Testing Matrix,"Generate tests using a capability × test-type system, rather than relying solely on held-out accuracy.",Ordinary accuracy overestimates capability and makes it difficult to pinpoint specific bugs.,(no master instance — see survey refs),"CheckList (Ribeiro et al., 2020); BetterBench 2024","A company uses a Behavioral Testing Matrix to evaluate an LLM's performance in generating safe and reliable responses. By systematically testing different capabilities and scenarios, they identify and fix specific bugs, improving the model's overall reliability and trustworthiness."
Ambiguous/disambiguated contrast,Ambiguity/Disambiguation Contrast Questions,Test bias under both information-deficient and information-sufficient contexts.,Tests only surface-level stereotypes and cannot distinguish between uninformed random guessing and bias that overrides factual information.,"BBQ (2022) — BBQ constructs paired contextual templates: for each social dimension (e.g., religion, race), the same core biased proposition is embedded into two types of con",BBQ | Master instances: BBQ (2022); BetterBench 2024; Raji et al. 2021,"In the Chinese customer service dialogue dataset, ambiguous contexts (e.g., “This elderly customer repeatedly questions the refund process”) and disambiguating contexts (e.g., “This 72-year-old retired teacher repeatedly confirms details due to visual impairment preventing clear reading of the terms”) can be constructed from user complaint texts, while keeping the question “Who is more likely to be unreasonable?” and its answer options unchanged, to detect model sensitivity to age-based stereotypes."
Cultural adaptation protocol,Cultural Adaptation Process,Localize existing benchmarks rather than directly translating them.,Cross-cultural migration distortion,"KoBBQ (2024) — A systematic cultural adaptation methodology: First, apply “cultural suitability filtering” to the original BBQ template—removing approximately 70% of items uns | CBBQ (2024) — Four-stage human-AI co-authored ambiguous/disambiguated QA template pipeline | NaVAB (2025) — Cross-national news-based value elicitation framework with expert-annotated multi-label consensus scoring","KoBBQ, CBBQ, NaVAB, etc. | Master instances: KoBBQ (2024); CBBQ (2024); NaVAB (2025); BetterBench 2024; Raji et al. 2021","Constructing a dataset for AI assistants in Japanese workplaces using the KoBBQ framework: first applying “Japanese cultural filtering” to the Japanese translation of BBQ (removing questions unrelated to Japan’s lifetime employment system and seniority-based wage/promotion system), then augmenting with dimensions from Japan’s Ministry of Health, Labour and Welfare’s White Paper on Workplace Discrimination."
Human-AI collaborative generation,Human-AI Collaborative Item Generation,Use manual templates to ensure directionality; use models to scale up samples in bulk.,Manual question generation is slow; pure model-based question generation yields unstable quality.,CBBQ (2024) — A four-stage human-AI collaborative construction process: (1) AI-based initial screening of raw texts containing social attribute controversies from CNKI and so,CBBQ (2024); BetterBench 2024; Raji et al. 2021,"In an AI-assisted question-generation system for training grassroots civil servants in China, the CBBQ four-stage process is adopted: AI extracts ambiguous statements concerning topics such as “employment of persons with disabilities” and “staffing quotas for rural-hukou teachers” from government bulletins and petition platforms; these statements are then disambiguated by human resources and social security experts to generate policy-comprehension multiple-choice questions (MCQs), which are used."
Safe/unsafe contrast set,Safe/Unsafe Contrast Set,Design both safe but easily rejected prompts and genuinely unsafe prompts simultaneously.,"Measures only refusal rate, ignoring over-refusal.","XSTest (2024) — This tool constructs rigorously paired prompt contrast sets: each pair comprises one semantically safe but easily over-refused prompt (e.g., expressing routine",XSTest | Master instances: XSTest (2024),"In a medical Q&A dataset, for each real patient query (e.g., “How to relieve migraine”), manually construct a semantically safe but lexically vague/metaphorical counterpart (e.g., “What can I do to make my head quiet down, like turning off an old, buzzing air conditioner?”), forming contrastive pairs to evaluate whether medical large language models erroneously reject legitimate health inquiries due to terminological uncertainty."
Hazard taxonomy,Risk classification system,Categorize safety risks into multiple hazard types and establish response criteria.,"Security risks are overly broad, making structured assessment infeasible.","HarmBench (2024) — HarmBench constructs its test behaviors by systematically mapping 7 semantic harm categories (e.g., chemical weapons, non-consensual imagery, fraud) to real-world red-line vs. disputed-behavior labeling.",AILuminate; HarmBench (2024),"In the financial risk control dialogue dataset, reconstruct HarmBench’s taxonomy based on China’s Interim Measures for the Management of Generative Artificial Intelligence Services and the CBIRC’s anti-money laundering guidelines: label 'forging bank statements' as red-line (explicitly illegal), and label 'teaching users reasonable tax planning' as disputed; then re-annotate 1,000 customer service dialogues using this labeling scheme to drive the model to learn how to provide ambiguous responses."
Contextual integrity,Contextual Integrity,"Determine the appropriateness of information flow based on role, information type, purpose, and transmission principles.","Privacy is narrowly defined as PII, ignoring broader contextual factors.","PrivaCI-Bench (2025) — This tool is grounded in legal statutes including the GDPR, HIPAA, and the EU AI Act, anchoring specific provisions (e.g., GDPR Article 6 on lawfulness bases; HIPAA Privacy Rule).",PrivaCI-Bench (2025); Privacy Theory; Nissenbaum’s Contextual Integrity (CI) theory,"In a financial customer service dataset, this tool aligns with GLBA Section 501 security standards, generating MCQs like 'The agent stores this information in an unencrypted database—violating which GLBA requirement?' with a data flow diagram for context."
Proxy variable taxonomy,Proxy Variable Classification,Flag variables that appear neutral but may proxy for protected attributes.,The fairness benchmark only measures explicit bias and overlooks indirect discrimination.,"BBQ (2022) — BBQ constructs paired contextual templates: for each social dimension (e.g., religion, race), the same core biased proposition is embedded into two types of con | CBBQ (2024) — A four-stage human-AI collaborative construction process: (1) AI-based initial screening of raw texts containing social attribute controversies from CNKI and so",Fair ML and anti-discrimination literature; BBQ/CBBQ adaptation,"In a Chinese customer service dialogue dataset, ambiguous contexts (e.g., 'This elderly customer repeatedly questions the refund process') and disambiguating contexts (e.g., 'This 72-year-old retired teacher repeatedly confirms details due to visual impairment preventing clear reading of the terms') are constructed to detect model sensitivity to age-based stereotypes."
Risk-tier taxonomy,Risk level classification,"Categorize requests or scenarios as low-, medium-, or high-risk based on risk intensity.",One-size-fits-all risk assessment leads to excessive rejection or underestimation of crises.,(no master instance — see survey refs),"Expert-recommended (gap-driven; no benchmark instance in master corpus). Safety benchmark, crisis intervention scenario","In a healthcare AI system, patient requests are categorized into low, medium, and high risk. Low-risk requests (e.g., routine check-ups) are handled by chatbots, while high-risk requests (e.g., severe symptoms) are escalated to human doctors, ensuring appropriate and timely care."
Professional boundary rubric,Professional Boundary Scoring Criteria,"Specify that the model must not overstep its authority in medical, legal, psychological, and other domains.",Empathy/Professional Advice Benchmark is prone to overreach.,"ETHICS (2023) — ETHICS constructs an explicit annotation schema mapped to five major normative ethical traditions (care ethics, justice ethics, deontology, virtue ethics, commo)",Professional ethics; psychological/medical/legal norms; ETHICS (2023),"In a medical AI consultation dialogue dataset, this schema can be reused to relabel decision recommendations in physician–patient interactions along three ethical axes: deontology, care ethics, and justice ethics, evaluating model response consistency under varying ethical weightings."
Multi-turn red teaming,Multi-round Red-Teaming,"Testing boundary stability through multi-round induction, role-playing, and request packaging.",Single-turn safety questions cannot detect boundary drift.,HarmBench (2024) — HarmBench constructs its test behaviors by systematically mapping 7 semantic harm categories to real-world policies with explicit red-line vs. disputed-behavior labeling. | ToxicChat (2023) — This tool captures real first-turn user prompts from the Vicuna online demo and manually or semi-automatically labels whether the subsequent AI response is toxic.,"HarmBench/JailbreakBench/ToxicChat, etc. | Master instances: HarmBench (2024); ToxicChat (2023); Raji et al. 2021: Closing the AI Accountability Gap: Defining an End-to-End Framework for Internal Algorithmic Auditing; AI RMF: NIST AI Risk Management Framework","In a financial risk control dialogue dataset, reconstruct HarmBench’s taxonomy based on China’s Interim Measures for the Management of Generative Artificial Intelligence Services and the CBIRC’s anti-money laundering guidelines. Label 'forging bank statements' as red-line (explicitly illegal) and 'teaching users reasonable tax planning' as disputed, then re-annotate 1,000 customer service dialogues using this labeling scheme."
Agent / workflow simulation,Agent Workflow Simulation,"Test model actions in environments such as tool invocation, file systems, email, and databases.",Text-response safety does not equal action safety.,"Agent-SafetyBench (2025) — This tool is a test case generation framework designed for LLM agents: it constructs 2,000 multi-turn interaction trajectories in the ToolEmu sandbox environment.","Agent-SafetyBench, ToolEmu, etc. | Master instances: Agent-SafetyBench (2025); BetterBench 2024; Raji et al. 2021","In the Intelligent Office Assistant dataset, generate multi-turn test cases based on the 'Email Auto-Archiving' functionality. The user requests to move emails, and the agent invokes the search API. In the second turn, the agent simulates an API failure to observe if it executes the move operation without secondary verification, evaluating its robustness."
LLM-as-a-judge + rubric,Large Language Model Scorer and Guidelines,"Evaluate open-ended responses using strong models or multi-model ensembles, and reduce bias through rubrics and human calibration.",Open-ended responses are difficult to score automatically.,(no master instance — see survey refs),MT-Bench; Chatbot Arena; LLM-as-Judge survey,"In an educational setting, LLM-as-a-judge is used to evaluate student essays. The tool employs a strong language model to score the essays, and a detailed rubric is provided to ensure consistent and fair evaluations. Human calibration is used to further reduce bias and improve the reliability of the scores."
Multi-judge aggregation,Multi-rater Aggregation,"Multiple judges or human-model collaboration for scoring, reducing bias from a single evaluator.",Single LLM judge is unstable.,(no master instance — see survey refs),Expert-recommended (gap-driven; no benchmark instance in master corpus). LLM judge-related research,"In an ethical judgment task, multiple human evaluators and LLMs collaboratively score responses, reducing the variability and bias that a single LLM might introduce."
Public/private split,Public Practice and Hidden Test Data,Publish practice data; keep formal test data hidden.,"Data contamination, leaderboard gaming, Goodhart’s law",(no master instance — see survey refs),AILuminate; MLCommons-style benchmarking practices,"A machine learning competition uses a public dataset for participants to train their models. A separate, hidden dataset is used for final evaluation, ensuring that the top-performing models have not overfitted to the training data."
Dynamic update / versioning,Dynamic Updates and Version Management,"Update the question set in response to evolving model capabilities, legal requirements, and societal risks, while maintaining version control.","Benchmark outdated, difficult to compare",(no master instance — see survey refs),BetterBench 2024; AI RMF,"A benchmark for evaluating AI models in healthcare is updated annually to reflect new medical guidelines, emerging diseases, and changes in data privacy laws, ensuring the benchmark remains relevant and reliable."
Benchmark card / dataset card,Benchmark/Dataset Card,"Intended use, out-of-scope, data sources, limitations, maintenance approach",User misuse of benchmark; insufficient documentation,(no master instance — see survey refs),"Datasheets (Gebru et al., 2018); Model Cards (Mitchell et al., 2019); Data Cards (Holland et al., 2018); BetterBench (2024)","A research team releases a new benchmark for evaluating AI models in healthcare. They create a detailed Benchmark Card, outlining the intended use, data sources, limitations, and maintenance plan, ensuring that users can apply the benchmark appropriately and understand its context."
